loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,verification_status,annual_inc,loan_status,purpose,dti,pub_rec_bankruptcies,issue_year,issue_month
12000,60,18.79,E,E3,9 years,MORTGAGE,Source Verified,72000.0,Charged Off,debt_consolidation,12.33,0.0,2011,6
5000,36,10.59,B,B2,1 year,MORTGAGE,Not Verified,51600.0,Fully Paid,home_improvement,15.49,0.0,2011,6
4100,36,13.49,C,C2,< 1 year,RENT,Verified,20000.0,Fully Paid,debt_consolidation,21.96,0.0,2011,6
9600,36,11.99,B,B5,2 years,MORTGAGE,Verified,24000.0,Fully Paid,debt_consolidation,16.85,0.0,2011,6
10000,36,11.99,B,B5,4 years,MORTGAGE,Not Verified,41004.0,Fully Paid,other,21.89,0.0,2011,6
15000,36,7.49,A,A4,5 years,MORTGAGE,Source Verified,70000.0,Fully Paid,credit_card,10.44,0.0,2011,6
4800,36,7.49,A,A4,8 years,RENT,Not Verified,24000.0,Fully Paid,other,22.55,0.0,2011,6
6000,36,10.99,B,B3,10+ years,MORTGAGE,Source Verified,141000.0,Fully Paid,debt_consolidation,20.14,0.0,2011,6
17950,36,7.49,A,A4,2 years,RENT,Verified,130000.0,Fully Paid,wedding,14.6,0.0,2011,6
12000,36,10.99,B,B3,2 years,RENT,Verified,39600.0,Fully Paid,debt_consolidation,21.21,0.0,2011,6
7000,36,6.99,A,A3,1 year,RENT,Verified,150000.0,Fully Paid,debt_consolidation,17.59,0.0,2011,6
12725,60,10.99,B,B3,9 years,OWN,Not Verified,90000.0,Fully Paid,home_improvement,24.05,0.0,2011,6
3500,36,6.99,A,A3,7 years,RENT,Not Verified,35000.0,Fully Paid,other,2.5,0.0,2011,6
6700,36,10.99,B,B3,3 years,RENT,Verified,25700.0,Fully Paid,debt_consolidation,21.95,1.0,2011,6
8000,36,11.99,B,B5,3 years,RENT,Verified,130000.0,Fully Paid,vacation,3.44,0.0,2011,6
3000,36,10.59,B,B2,3 years,RENT,Verified,18000.0,Fully Paid,debt_consolidation,4.13,0.0,2011,6
2000,36,18.39,E,E2,10+ years,MORTGAGE,Not Verified,72000.0,Charged Off,other,15.62,0.0,2011,6
15000,60,13.99,C,C3,< 1 year,MORTGAGE,Not Verified,75000.0,Charged Off,debt_consolidation,15.95,0.0,2011,6
10000,60,11.49,B,B4,4 years,MORTGAGE,Not Verified,45000.0,Fully Paid,major_purchase,5.41,0.0,2011,6
1800,36,11.99,B,B5,5 years,RENT,Not Verified,33195.2,Fully Paid,debt_consolidation,12.07,1.0,2011,6
6450,60,19.69,E,E5,5 years,RENT,Verified,23000.0,Charged Off,credit_card,22.12,0.0,2011,6
12000,36,11.49,B,B4,4 years,RENT,Not Verified,120000.0,Fully Paid,other,0.38,0.0,2011,6
12000,36,14.79,C,C4,< 1 year,RENT,Verified,24000.0,Fully Paid,major_purchase,4.9,0.0,2011,6
13200,60,17.49,D,D5,3 years,MORTGAGE,Source Verified,63000.0,Fully Paid,medical,14.86,0.0,2011,6
12000,60,11.49,B,B4,4 years,MORTGAGE,Verified,61464.0,Fully Paid,debt_consolidation,6.87,0.0,2011,6
2000,36,12.99,C,C1,2 years,MORTGAGE,Not Verified,124000.0,Fully Paid,major_purchase,15.75,0.0,2011,6
10000,36,6.99,A,A3,1 year,MORTGAGE,Not Verified,57000.0,Charged Off,home_improvement,17.24,0.0,2011,6
3000,36,7.49,A,A4,10+ years,RENT,Not Verified,45000.0,Fully Paid,other,24.03,0.0,2011,6
3000,36,5.42,A,A1,1 year,RENT,Verified,68000.0,Fully Paid,moving,10.27,0.0,2011,6
8500,36,5.42,A,A1,4 years,RENT,Not Verified,44000.0,Fully Paid,debt_consolidation,4.36,0.0,2011,6
14125,60,15.99,D,D2,3 years,MORTGAGE,Verified,31500.0,Fully Paid,debt_consolidation,19.92,0.0,2011,6
10000,36,8.49,A,A5,6 years,RENT,Source Verified,80000.0,Fully Paid,debt_consolidation,19.99,0.0,2011,6
8000,36,15.99,D,D2,8 years,MORTGAGE,Not Verified,88000.0,Fully Paid,home_improvement,17.84,0.0,2011,6
10000,36,5.99,A,A2,< 1 year,RENT,Verified,33000.0,Fully Paid,car,29.02,0.0,2011,6
7500,36,10.59,B,B2,10+ years,RENT,Not Verified,36000.0,Charged Off,debt_consolidation,7.6,0.0,2011,6
6000,36,7.49,A,A4,< 1 year,MORTGAGE,Source Verified,28800.0,Fully Paid,car,15.46,0.0,2011,6
6000,36,9.99,B,B1,10+ years,MORTGAGE,Not Verified,105000.0,Fully Paid,car,20.58,0.0,2011,6
14000,60,11.99,B,B5,3 years,MORTGAGE,Source Verified,55000.0,Fully Paid,debt_consolidation,14.01,1.0,2011,6
9600,36,6.99,A,A3,8 years,MORTGAGE,Source Verified,50000.0,Fully Paid,home_improvement,4.37,0.0,2011,6
10300,36,10.59,B,B2,3 years,RENT,Source Verified,45000.0,Fully Paid,other,10.03,0.0,2011,6
3000,36,5.42,A,A1,4 years,MORTGAGE,Source Verified,66000.0,Fully Paid,home_improvement,15.29,0.0,2011,6
5975,36,12.99,C,C1,5 years,MORTGAGE,Verified,26400.0,Fully Paid,debt_consolidation,6.68,0.0,2011,6
6700,36,15.23,C,C5,5 years,RENT,Verified,85000.0,Fully Paid,small_business,10.42,0.0,2011,6
10000,36,13.49,C,C2,5 years,RENT,Not Verified,67000.0,Fully Paid,other,11.34,0.0,2011,6
7500,36,15.23,C,C5,3 years,MORTGAGE,Not Verified,90000.0,Fully Paid,debt_consolidation,7.12,0.0,2011,6
7125,60,18.39,E,E2,< 1 year,RENT,Verified,27300.0,Fully Paid,debt_consolidation,21.41,0.0,2011,6
10000,60,20.25,F,F1,10+ years,RENT,Verified,56000.0,Charged Off,wedding,13.07,0.0,2011,6
10000,36,14.79,C,C4,1 year,MORTGAGE,Source Verified,100000.0,Fully Paid,medical,6.12,0.0,2011,6
8000,36,11.99,B,B5,3 years,RENT,Source Verified,41200.0,Fully Paid,debt_consolidation,20.74,0.0,2011,6
30000,60,18.79,E,E3,6 years,RENT,Verified,69000.0,Fully Paid,credit_card,24.57,0.0,2011,6
5500,36,9.99,B,B1,< 1 year,MORTGAGE,Source Verified,50000.04,Fully Paid,credit_card,5.06,0.0,2011,6
12000,36,5.42,A,A1,2 years,RENT,Source Verified,36000.0,Charged Off,major_purchase,11.77,0.0,2011,6
9000,36,7.49,A,A4,5 years,MORTGAGE,Source Verified,96000.0,Fully Paid,home_improvement,10.35,0.0,2011,6
16000,60,14.79,C,C4,4 years,RENT,Source Verified,200000.0,Fully Paid,wedding,5.26,0.0,2011,6
6000,36,6.99,A,A3,5 years,RENT,Not Verified,46000.0,Fully Paid,other,29.43,0.0,2011,6
7500,36,5.99,A,A2,1 year,MORTGAGE,Not Verified,60000.0,Fully Paid,car,2.6,0.0,2011,6
15000,36,10.99,B,B3,5 years,RENT,Not Verified,42000.0,Fully Paid,debt_consolidation,21.31,0.0,2011,6
35000,60,17.99,E,E1,8 years,MORTGAGE,Verified,180000.0,Fully Paid,credit_card,12.01,0.0,2011,6
6000,36,9.99,B,B1,2 years,RENT,Source Verified,43000.0,Charged Off,credit_card,22.58,0.0,2011,6
5000,36,16.49,D,D3,3 years,OWN,Verified,60000.0,Fully Paid,medical,24.5,0.0,2011,6
9600,36,9.99,B,B1,< 1 year,MORTGAGE,Source Verified,78000.0,Fully Paid,medical,6.66,0.0,2011,6
6000,36,5.99,A,A2,7 years,MORTGAGE,Not Verified,25800.0,Fully Paid,debt_consolidation,5.53,0.0,2011,6
2500,36,12.99,C,C1,5 years,MORTGAGE,Verified,75000.0,Fully Paid,debt_consolidation,21.62,0.0,2011,6
25000,60,10.99,B,B3,10+ years,MORTGAGE,Verified,62695.0,Charged Off,debt_consolidation,3.79,0.0,2011,6
10000,36,12.99,C,C1,4 years,RENT,Verified,140000.0,Fully Paid,debt_consolidation,11.53,0.0,2011,6
10000,36,7.49,A,A4,2 years,MORTGAGE,Not Verified,60000.0,Fully Paid,home_improvement,6.48,0.0,2011,6
25000,60,18.79,E,E3,< 1 year,MORTGAGE,Verified,72000.0,Fully Paid,home_improvement,9.77,0.0,2011,6
4500,36,5.42,A,A1,8 years,MORTGAGE,Not Verified,48000.0,Fully Paid,car,10.9,0.0,2011,6
15000,36,13.49,C,C2,< 1 year,RENT,Source Verified,80000.0,Fully Paid,small_business,3.44,1.0,2011,6
4000,36,6.99,A,A3,5 years,MORTGAGE,Verified,60000.0,Fully Paid,wedding,11.22,0.0,2011,6
6000,36,6.99,A,A3,6 years,RENT,Not Verified,55000.0,Fully Paid,credit_card,18.14,0.0,2011,6
3250,36,7.49,A,A4,4 years,RENT,Verified,125000.0,Fully Paid,other,21.33,0.0,2011,6
10000,36,5.99,A,A2,10+ years,RENT,Not Verified,59600.0,Fully Paid,wedding,11.42,0.0,2011,6
8000,36,9.99,B,B1,2 years,MORTGAGE,Not Verified,38000.0,Fully Paid,major_purchase,7.93,0.0,2011,6
3500,36,11.49,B,B4,6 years,RENT,Not Verified,53000.0,Fully Paid,other,18.57,0.0,2011,6
1000,36,10.99,B,B3,3 years,RENT,Not Verified,26400.0,Fully Paid,debt_consolidation,22.59,0.0,2011,6
24000,60,19.69,E,E5,10+ years,RENT,Verified,78000.0,Fully Paid,debt_consolidation,21.72,0.0,2011,6
20600,60,10.59,B,B2,10+ years,MORTGAGE,Verified,95200.0,Fully Paid,medical,3.43,0.0,2011,6
8550,36,11.99,B,B5,3 years,RENT,Not Verified,42000.0,Fully Paid,debt_consolidation,16.71,0.0,2011,6
3600,36,6.99,A,A3,8 years,MORTGAGE,Not Verified,44000.0,Fully Paid,car,9.82,0.0,2011,6
2200,36,16.49,D,D3,2 years,RENT,Source Verified,16200.0,Fully Paid,small_business,7.41,0.0,2011,6
35000,60,15.62,D,D1,7 years,MORTGAGE,Verified,150000.0,Fully Paid,debt_consolidation,15.9,0.0,2011,6
15000,36,10.99,B,B3,2 years,RENT,Source Verified,35000.0,Fully Paid,debt_consolidation,14.64,0.0,2011,6
14400,60,11.99,B,B5,6 years,RENT,Source Verified,34800.0,Charged Off,debt_consolidation,23.9,0.0,2011,6
15850,60,11.49,B,B4,2 years,MORTGAGE,Verified,25000.0,Fully Paid,other,6.19,0.0,2011,6
5200,60,13.99,C,C3,10+ years,MORTGAGE,Not Verified,30000.0,Fully Paid,car,18.56,1.0,2011,6
7200,60,9.99,B,B1,6 years,MORTGAGE,Not Verified,36000.0,Fully Paid,car,12.83,0.0,2011,6
8000,60,16.49,D,D3,10+ years,MORTGAGE,Source Verified,70000.0,Charged Off,debt_consolidation,11.23,1.0,2011,6
4000,60,19.29,E,E4,2 years,RENT,Source Verified,22000.0,Fully Paid,debt_consolidation,3.22,0.0,2011,6
8000,36,7.49,A,A4,10+ years,RENT,Source Verified,70000.0,Fully Paid,debt_consolidation,5.37,0.0,2011,6
28000,60,19.29,E,E4,9 years,MORTGAGE,Verified,123000.0,Fully Paid,credit_card,18.45,1.0,2011,6
13800,36,8.49,A,A5,2 years,RENT,Not Verified,79000.0,Fully Paid,credit_card,14.22,0.0,2011,6
10000,36,10.99,B,B3,10+ years,RENT,Not Verified,50000.0,Fully Paid,debt_consolidation,21.86,0.0,2011,6
7000,36,6.99,A,A3,10+ years,MORTGAGE,Not Verified,30000.0,Fully Paid,credit_card,18.08,0.0,2011,6
17000,60,11.99,B,B5,10+ years,MORTGAGE,Verified,44004.0,Fully Paid,debt_consolidation,12.03,0.0,2011,6
6400,36,15.62,D,D1,< 1 year,RENT,Source Verified,38000.0,Fully Paid,moving,18.13,0.0,2011,6
4800,36,13.49,C,C2,5 years,RENT,Verified,105000.0,Fully Paid,credit_card,28.95,0.0,2011,6
20000,36,7.49,A,A4,3 years,RENT,Verified,80000.0,Fully Paid,credit_card,15.6,0.0,2011,6
27000,60,19.29,E,E4,< 1 year,MORTGAGE,Verified,115000.0,Fully Paid,credit_card,7.17,0.0,2011,6
6000,36,7.49,A,A4,6 years,RENT,Not Verified,48000.0,Charged Off,car,25.85,0.0,2011,6
3400,36,11.49,B,B4,7 years,MORTGAGE,Source Verified,60000.0,Fully Paid,debt_consolidation,15.3,0.0,2011,6
7950,36,10.99,B,B3,10+ years,RENT,Not Verified,50700.0,Fully Paid,credit_card,7.55,1.0,2011,6
3500,36,12.99,C,C1,1 year,MORTGAGE,Verified,60000.0,Fully Paid,major_purchase,10.04,0.0,2011,6
11650,36,11.99,B,B5,10+ years,RENT,Not Verified,40000.0,Fully Paid,debt_consolidation,18.0,0.0,2011,6
3625,36,10.59,B,B2,2 years,RENT,Source Verified,58000.0,Charged Off,wedding,13.3,0.0,2011,6
1825,36,15.62,D,D1,2 years,RENT,Verified,14400.0,Fully Paid,credit_card,10.33,0.0,2011,6
4000,36,7.49,A,A4,2 years,RENT,Not Verified,23400.0,Fully Paid,debt_consolidation,3.33,0.0,2011,6
6000,36,14.79,C,C4,1 year,RENT,Source Verified,50000.0,Fully Paid,other,12.17,0.0,2011,6
10875,36,7.49,A,A4,7 years,OWN,Source Verified,51500.0,Fully Paid,other,13.44,0.0,2011,6
21000,60,13.49,C,C2,7 years,MORTGAGE,Verified,102000.0,Fully Paid,home_improvement,4.96,0.0,2011,6
6000,36,15.99,D,D2,2 years,RENT,Source Verified,30000.0,Fully Paid,debt_consolidation,12.32,0.0,2011,6
12000,60,23.22,G,G4,6 years,MORTGAGE,Not Verified,101004.0,Fully Paid,debt_consolidation,14.91,0.0,2011,6
3600,36,15.23,C,C5,2 years,RENT,Not Verified,68480.0,Fully Paid,debt_consolidation,22.25,0.0,2011,6
6000,36,5.42,A,A1,10+ years,MORTGAGE,Not Verified,114000.0,Fully Paid,other,2.47,0.0,2011,6
4000,36,12.99,C,C1,4 years,RENT,Not Verified,38400.0,Fully Paid,other,14.38,0.0,2011,6
6000,36,10.59,B,B2,< 1 year,RENT,Not Verified,19200.0,Charged Off,debt_consolidation,12.31,0.0,2011,6
6500,36,8.49,A,A5,< 1 year,RENT,Source Verified,30000.0,Fully Paid,car,4.68,0.0,2011,6
7000,36,7.49,A,A4,7 years,RENT,Source Verified,52249.92,Fully Paid,wedding,15.07,0.0,2011,6
2650,36,7.49,A,A4,4 years,OWN,Not Verified,17795.0,Fully Paid,debt_consolidation,21.11,0.0,2011,6
1000,36,9.99,B,B1,4 years,RENT,Not Verified,48000.0,Fully Paid,moving,8.8,0.0,2011,6
1000,36,7.49,A,A4,3 years,RENT,Not Verified,21000.0,Fully Paid,small_business,12.11,0.0,2011,6
12000,60,18.79,E,E3,10+ years,RENT,Source Verified,40000.0,Charged Off,debt_consolidation,20.52,1.0,2011,6
4000,36,10.59,B,B2,< 1 year,RENT,Verified,45200.0,Fully Paid,debt_consolidation,24.5,0.0,2011,6
5000,36,5.99,A,A2,5 years,MORTGAGE,Not Verified,35256.0,Fully Paid,home_improvement,29.65,0.0,2011,6
3000,36,11.49,B,B4,9 years,MORTGAGE,Source Verified,54000.0,Fully Paid,debt_consolidation,14.73,0.0,2011,6
35000,36,16.49,D,D3,3 years,MORTGAGE,Verified,177632.0,Fully Paid,small_business,16.92,0.0,2011,6
12000,36,11.49,B,B4,4 years,RENT,Verified,75000.0,Fully Paid,debt_consolidation,15.33,0.0,2011,6
20000,36,13.49,C,C2,6 years,MORTGAGE,Source Verified,93000.0,Fully Paid,home_improvement,13.86,0.0,2011,6
4800,36,10.99,B,B3,3 years,RENT,Source Verified,160800.0,Fully Paid,car,7.75,0.0,2011,6
7200,36,12.99,C,C1,4 years,RENT,Not Verified,62000.0,Fully Paid,credit_card,9.7,0.0,2011,6
4800,36,8.9,A,A5,6 years,MORTGAGE,Not Verified,24600.0,Charged Off,car,7.85,0.0,2011,6
21000,36,11.63,B,B3,< 1 year,RENT,Verified,92000.0,Fully Paid,car,9.42,0.0,2011,6
24000,60,18.07,D,D4,10+ years,RENT,Verified,72000.0,Charged Off,debt_consolidation,21.08,0.0,2011,6
11200,36,7.91,A,A4,3 years,MORTGAGE,Verified,102000.0,Fully Paid,debt_consolidation,13.07,0.0,2011,6
5975,36,7.42,A,A3,8 years,MORTGAGE,Source Verified,36000.0,Fully Paid,car,21.53,0.0,2011,6
5600,36,11.14,B,B2,7 years,RENT,Not Verified,48000.0,Fully Paid,car,18.8,1.0,2011,6
9600,60,20.2,E,E3,< 1 year,OWN,Source Verified,35004.0,Charged Off,debt_consolidation,5.52,0.0,2011,6
4800,36,12.12,B,B4,5 years,RENT,Not Verified,60000.0,Fully Paid,credit_card,22.08,0.0,2011,6
12000,60,19.39,E,E1,10+ years,RENT,Source Verified,120000.0,Fully Paid,debt_consolidation,4.78,0.0,2011,6
10000,36,16.11,C,C5,4 years,RENT,Not Verified,42000.0,Fully Paid,debt_consolidation,22.0,0.0,2011,6
15975,60,20.99,E,E5,8 years,MORTGAGE,Verified,225000.0,Charged Off,other,5.71,0.0,2011,6
1800,36,17.54,D,D3,3 years,RENT,Verified,15000.0,Fully Paid,small_business,18.32,0.0,2011,6
12000,36,5.42,A,A1,7 years,RENT,Not Verified,91392.0,Fully Paid,vacation,8.18,0.0,2011,6
18000,60,22.64,F,F4,2 years,RENT,Not Verified,60000.0,Charged Off,debt_consolidation,18.0,0.0,2011,6
5400,36,8.9,A,A5,4 years,MORTGAGE,Not Verified,65000.0,Fully Paid,major_purchase,12.55,0.0,2011,6
5000,36,8.9,A,A5,4 years,RENT,Not Verified,44000.0,Fully Paid,wedding,21.25,0.0,2011,6
6000,36,19.39,E,E1,< 1 year,RENT,Source Verified,36000.0,Fully Paid,debt_consolidation,5.73,0.0,2011,6
6000,36,6.62,A,A2,10+ years,MORTGAGE,Source Verified,60000.0,Fully Paid,home_improvement,4.26,0.0,2011,6
12000,36,5.42,A,A1,2 years,MORTGAGE,Source Verified,159996.0,Fully Paid,home_improvement,1.26,0.0,2011,6
5000,36,12.62,B,B5,4 years,OWN,Not Verified,50000.0,Fully Paid,debt_consolidation,17.66,0.0,2011,6
4000,36,5.42,A,A1,10+ years,MORTGAGE,Source Verified,48000.0,Fully Paid,home_improvement,11.53,0.0,2011,6
10625,36,11.14,B,B2,4 years,RENT,Verified,117000.0,Fully Paid,debt_consolidation,6.33,0.0,2011,6
11750,36,8.9,A,A5,9 years,MORTGAGE,Source Verified,49000.0,Fully Paid,debt_consolidation,16.56,0.0,2011,6
14000,60,12.99,C,C1,5 years,MORTGAGE,Verified,60000.0,Fully Paid,debt_consolidation,28.6,0.0,2011,6
5000,36,7.91,A,A4,< 1 year,RENT,Not Verified,25200.0,Fully Paid,major_purchase,8.38,0.0,2011,6
35000,36,16.11,C,C5,1 year,RENT,Verified,100000.0,Fully Paid,credit_card,19.08,0.0,2011,6
30000,60,18.07,D,D4,6 years,MORTGAGE,Verified,200000.0,Fully Paid,credit_card,7.18,0.0,2011,6
4000,36,7.42,A,A3,4 years,OWN,Verified,70000.0,Fully Paid,major_purchase,28.3,0.0,2011,6
2800,36,8.9,A,A5,10+ years,RENT,Source Verified,54000.0,Charged Off,other,13.49,0.0,2011,6
3000,36,6.62,A,A2,2 years,RENT,Not Verified,24000.0,Fully Paid,major_purchase,8.1,0.0,2011,6
19700,60,16.59,D,D1,10+ years,MORTGAGE,Verified,65000.0,Fully Paid,debt_consolidation,29.13,0.0,2011,6
5000,36,7.91,A,A4,7 years,RENT,Source Verified,56000.0,Fully Paid,credit_card,14.25,0.0,2011,6
5600,36,7.91,A,A4,6 years,RENT,Not Verified,38000.0,Fully Paid,major_purchase,20.21,0.0,2011,6
5000,36,17.19,D,D2,< 1 year,RENT,Source Verified,15000.0,Fully Paid,car,4.64,0.0,2011,6
16800,60,16.11,C,C5,5 years,MORTGAGE,Verified,58764.0,Charged Off,debt_consolidation,16.36,0.0,2011,6
10000,36,5.42,A,A1,6 years,MORTGAGE,Source Verified,60000.0,Fully Paid,debt_consolidation,7.02,0.0,2011,6
3000,36,12.87,C,C1,4 years,RENT,Not Verified,75000.0,Fully Paid,debt_consolidation,14.35,0.0,2011,6
6200,60,20.69,E,E4,4 years,RENT,Source Verified,90000.0,Fully Paid,wedding,5.69,0.0,2011,6
6400,36,9.67,B,B1,2 years,RENT,Source Verified,46000.0,Fully Paid,debt_consolidation,8.45,0.0,2011,6
5000,36,9.67,B,B1,10+ years,MORTGAGE,Verified,99600.0,Fully Paid,medical,15.22,0.0,2011,6
14075,60,12.12,B,B4,< 1 year,MORTGAGE,Verified,56000.0,Charged Off,debt_consolidation,21.04,0.0,2011,6
30000,60,19.39,E,E1,1 year,RENT,Verified,60000.0,Charged Off,debt_consolidation,18.36,0.0,2011,6
18000,60,21.82,F,F2,< 1 year,RENT,Source Verified,50000.0,Charged Off,debt_consolidation,12.31,0.0,2011,6
12000,36,7.91,A,A4,< 1 year,RENT,Source Verified,42000.0,Fully Paid,credit_card,4.51,0.0,2011,6
6400,36,20.2,E,E3,6 years,RENT,Source Verified,50000.0,Fully Paid,wedding,6.38,0.0,2011,6
12000,60,19.79,E,E2,10+ years,MORTGAGE,Source Verified,167000.0,Fully Paid,other,10.85,0.0,2011,6
12000,36,5.42,A,A1,10+ years,MORTGAGE,Not Verified,56700.0,Fully Paid,credit_card,14.69,0.0,2011,6
10000,36,5.42,A,A1,< 1 year,MORTGAGE,Verified,93000.0,Fully Paid,major_purchase,26.98,0.0,2011,6
12000,36,7.91,A,A4,5 years,MORTGAGE,Verified,39996.0,Charged Off,debt_consolidation,24.63,0.0,2011,6
3200,36,6.62,A,A2,10+ years,MORTGAGE,Verified,55530.0,Fully Paid,car,17.5,0.0,2011,6
10000,36,11.63,B,B3,1 year,RENT,Verified,35000.0,Charged Off,medical,9.02,0.0,2011,6
19600,36,17.19,D,D2,< 1 year,RENT,Verified,110000.0,Fully Paid,debt_consolidation,10.29,0.0,2011,6
16000,60,18.49,D,D5,6 years,RENT,Verified,37700.0,Fully Paid,medical,13.34,0.0,2011,6
12000,36,13.84,C,C2,1 year,RENT,Not Verified,60000.0,Fully Paid,credit_card,22.92,0.0,2011,6
5250,36,12.87,C,C1,2 years,MORTGAGE,Verified,56000.0,Fully Paid,other,6.11,0.0,2011,6
4000,36,9.67,B,B1,2 years,RENT,Not Verified,58000.0,Fully Paid,debt_consolidation,18.12,0.0,2011,6
3000,36,6.62,A,A2,2 years,MORTGAGE,Not Verified,88668.0,Fully Paid,major_purchase,3.3,0.0,2011,6
16000,36,6.62,A,A2,4 years,MORTGAGE,Source Verified,97000.0,Fully Paid,major_purchase,5.47,0.0,2011,6
5500,36,12.87,C,C1,10+ years,MORTGAGE,Verified,75000.0,Fully Paid,other,22.38,0.0,2011,6
11200,36,7.42,A,A3,4 years,MORTGAGE,Source Verified,50400.0,Charged Off,major_purchase,6.12,0.0,2011,6
5200,36,7.91,A,A4,10+ years,MORTGAGE,Source Verified,63599.0,Fully Paid,medical,11.49,0.0,2011,6
15000,36,12.12,B,B4,10+ years,MORTGAGE,Not Verified,56700.0,Fully Paid,credit_card,18.84,0.0,2011,6
9800,36,8.9,A,A5,2 years,RENT,Verified,107000.0,Fully Paid,wedding,9.67,0.0,2011,6
3600,36,8.9,A,A5,3 years,RENT,Not Verified,18700.0,Fully Paid,debt_consolidation,3.27,0.0,2011,6
14000,36,7.91,A,A4,5 years,RENT,Not Verified,45000.0,Fully Paid,small_business,17.97,0.0,2011,6
13500,36,5.42,A,A1,10+ years,OWN,Verified,129600.0,Fully Paid,debt_consolidation,18.22,0.0,2011,6
3000,36,15.62,C,C4,5 years,RENT,Verified,60000.0,Fully Paid,wedding,20.24,0.0,2011,6
6000,36,12.87,C,C1,10+ years,MORTGAGE,Source Verified,43200.0,Fully Paid,home_improvement,6.58,0.0,2011,6
8000,36,5.42,A,A1,1 year,RENT,Not Verified,55000.0,Fully Paid,wedding,4.69,0.0,2011,6
7000,36,5.42,A,A1,5 years,MORTGAGE,Source Verified,155000.0,Fully Paid,home_improvement,18.33,0.0,2011,6
7200,36,11.14,B,B2,< 1 year,RENT,Verified,60000.0,Fully Paid,debt_consolidation,16.42,0.0,2011,6
10000,36,18.07,D,D4,6 years,OWN,Verified,98000.0,Fully Paid,other,14.41,0.0,2011,6
20000,36,11.63,B,B3,1 year,RENT,Verified,75000.0,Fully Paid,other,14.22,0.0,2011,6
12000,36,9.67,B,B1,3 years,RENT,Verified,67000.0,Fully Paid,debt_consolidation,7.2,0.0,2011,6
27000,60,20.69,E,E4,10+ years,MORTGAGE,Source Verified,170000.0,Charged Off,debt_consolidation,5.16,0.0,2011,6
4500,36,7.42,A,A3,6 years,RENT,Source Verified,82560.0,Fully Paid,car,4.81,0.0,2011,6
12000,60,12.87,C,C1,10+ years,MORTGAGE,Source Verified,46968.0,Fully Paid,other,16.5,0.0,2011,6
3100,36,20.69,E,E4,7 years,MORTGAGE,Verified,96000.0,Fully Paid,credit_card,16.79,0.0,2011,6
24000,36,15.62,C,C4,4 years,OWN,Source Verified,190000.0,Fully Paid,debt_consolidation,4.83,0.0,2011,6
8400,36,5.42,A,A1,3 years,MORTGAGE,Not Verified,72000.0,Fully Paid,other,18.72,0.0,2011,6
12000,36,7.42,A,A3,6 years,RENT,Source Verified,48672.0,Fully Paid,debt_consolidation,14.69,0.0,2011,6
8000,60,18.07,D,D4,10+ years,MORTGAGE,Source Verified,90000.0,Fully Paid,home_improvement,9.36,0.0,2011,6
5000,36,16.59,D,D1,1 year,RENT,Source Verified,38000.04,Fully Paid,debt_consolidation,4.07,0.0,2011,6
12000,36,6.62,A,A2,8 years,MORTGAGE,Source Verified,92000.0,Fully Paid,home_improvement,7.77,0.0,2011,6
10000,60,12.62,B,B5,10+ years,MORTGAGE,Not Verified,44004.0,Fully Paid,debt_consolidation,8.29,0.0,2011,6
13500,36,9.67,B,B1,7 years,MORTGAGE,Source Verified,55000.0,Fully Paid,debt_consolidation,7.29,0.0,2011,6
16000,60,16.11,C,C5,10+ years,MORTGAGE,Not Verified,50000.0,Charged Off,credit_card,22.8,0.0,2011,6
15000,60,19.79,E,E2,2 years,MORTGAGE,Verified,108000.0,Fully Paid,debt_consolidation,16.27,0.0,2011,6
15000,36,7.91,A,A4,7 years,MORTGAGE,Source Verified,43200.0,Fully Paid,debt_consolidation,11.17,0.0,2011,6
25000,60,17.19,D,D2,2 years,MORTGAGE,Verified,196000.0,Fully Paid,other,2.17,0.0,2011,6
8500,36,11.14,B,B2,9 years,MORTGAGE,Not Verified,70000.0,Fully Paid,car,23.09,0.0,2011,6
15000,60,22.94,F,F5,3 years,RENT,Source Verified,60000.0,Charged Off,debt_consolidation,19.28,0.0,2011,6
5000,60,17.19,D,D2,< 1 year,RENT,Source Verified,24600.0,Fully Paid,other,21.41,0.0,2011,6
5600,36,11.63,B,B3,4 years,MORTGAGE,Source Verified,95000.0,Fully Paid,credit_card,8.12,0.0,2011,6
12000,60,24.4,G,G4,7 years,RENT,Not Verified,35775.63,Charged Off,renewable_energy,12.98,0.0,2011,6
14400,36,11.14,B,B2,3 years,RENT,Verified,72000.0,Fully Paid,debt_consolidation,14.75,0.0,2011,6
7000,36,19.39,E,E1,7 years,RENT,Verified,43000.0,Fully Paid,debt_consolidation,5.64,0.0,2011,6
6000,36,18.07,D,D4,< 1 year,RENT,Not Verified,21600.0,Fully Paid,renewable_energy,5.67,0.0,2011,6
9875,60,18.07,D,D4,9 years,RENT,Not Verified,52000.0,Fully Paid,debt_consolidation,22.34,0.0,2011,6
3500,60,21.48,F,F1,1 year,RENT,Source Verified,34737.0,Fully Paid,other,14.51,0.0,2011,6
7100,36,8.9,A,A5,3 years,RENT,Not Verified,31000.0,Fully Paid,other,14.21,0.0,2011,6
4500,36,5.42,A,A1,10+ years,MORTGAGE,Not Verified,99000.0,Fully Paid,home_improvement,14.15,0.0,2011,6
